date,time,subject,eccentricity,bleaching
2021.09.21,16_53_25,1,2,66
2021.09.21,16_58_12,1,2,66
2021.10.15,14_58_13,1,2,66
2021.10.15,15_04_10,1,2,66
2021.10.15,15_12_45,1,2,66
2021.10.28,15_54_12,1,2,66
2021.10.28,16_02_55,1,2,66
2021.10.28,16_10_42,1,2,66
2021.10.12,16_24_30,1,2,66
2021.10.28,16_25_23,1,2,66
2021.10.12,16_31_36,1,2,66
2021.10.28,16_32_12,1,2,66
2021.10.28,16_38_31,1,2,66
2021.10.12,16_44_46,1,2,66
2021.10.28,16_45_12,1,2,66
2021.10.28,15_54_23,1,4,66
2021.10.28,16_10_50,1,4,66
2021.10.28,16_17_44,1,4,66
2021.10.12,16_24_48,1,4,66
2021.10.28,16_25_34,1,4,66
2021.10.12,16_31_47,1,4,66
2021.10.28,16_32_21,1,4,66
2021.10.12,16_38_22,1,4,66
2021.10.28,16_38_42,1,4,66
2021.10.12,16_44_55,1,4,66
2021.10.28,16_45_22,1,4,66
2021.10.28,15_54_35,1,6,66
2021.10.28,16_10_59,1,6,66
2021.10.28,16_17_55,1,6,66
2021.10.12,16_25_04,1,6,66
2021.10.28,16_25_45,1,6,66
2021.10.28,16_38_58,1,6,66
2021.10.12,16_45_06,1,6,66
2021.10.28,16_53_28,1,6,66
2021.10.28,16_59_12,1,6,66
2021.10.28,17_05_02,1,6,66
2021.10.28,16_03_28,1,8,66
2021.10.28,16_11_08,1,8,66
2021.10.28,16_18_03,1,8,66
2021.10.12,16_25_17,1,8,66
2021.10.28,16_25_53,1,8,66
2021.10.12,16_32_10,1,8,66
2021.10.28,16_32_39,1,8,66
2021.10.12,16_38_43,1,8,66
2021.10.28,16_39_08,1,8,66
2021.10.12,16_45_16,1,8,66
2021.10.28,16_45_42,1,8,66
2021.11.12,12_45_49,2,2,66
2021.11.12,12_53_09,2,2,66
2021.11.12,12_58_29,2,2,66
2021.11.19,14_43_59,2,2,66
2021.11.19,14_51_23,2,2,66
2021.11.19,14_57_39,2,2,66
2021.11.19,15_03_54,2,2,66
2021.11.08,16_24_32,2,2,66
2021.11.08,16_31_28,2,2,66
2021.11.08,16_38_34,2,2,66
2021.11.15,16_50_49,2,2,66
2021.11.15,16_58_58,2,2,66
2021.11.15,17_06_24,2,2,66
2021.11.08,16_31_40,2,4,66
2021.11.08,16_38_48,2,4,66
2021.11.15,16_51_24,2,4,66
2021.11.15,16_59_19,2,4,66
2021.11.08,16_25_07,2,6,66
2021.11.08,16_31_53,2,6,66
2021.11.08,16_39_03,2,6,66
2021.11.15,16_51_46,2,6,66
2021.11.15,16_59_38,2,6,66
2021.11.15,17_06_52,2,6,66
2021.11.08,16_25_22,2,8,66
2021.11.08,16_39_13,2,8,66
2021.11.15,16_52_19,2,8,66
2021.11.15,16_59_55,2,8,66
2021.11.15,17_07_13,2,8,66
2021.12.17,10_48_47,3,2,66
2021.12.17,10_48_59,3,2,66
2021.12.17,10_49_07,3,2,66
2021.12.17,10_49_13,3,2,66
2021.12.17,10_49_20,3,2,66
2021.12.17,11_02_03,3,2,66
2021.12.17,11_02_09,3,2,66
2021.12.17,11_02_16,3,2,66
2021.12.17,11_02_23,3,2,66
2021.12.17,11_02_29,3,2,66
2021.12.17,10_49_27,3,4,66
2021.12.17,10_49_32,3,4,66
2021.12.17,10_49_38,3,4,66
2021.12.17,10_49_44,3,4,66
2021.12.17,10_49_49,3,4,66
2021.12.17,11_02_36,3,4,66
2021.12.17,11_02_41,3,4,66
2021.12.17,11_02_48,3,4,66
2021.12.17,11_02_53,3,4,66
2021.12.17,11_02_59,3,4,66
2021.12.17,10_49_55,3,6,66
2021.12.17,10_50_01,3,6,66
2021.12.17,10_50_06,3,6,66
2021.12.17,10_50_12,3,6,66
2021.12.17,10_50_17,3,6,66
2021.12.17,11_03_16,3,6,66
2021.12.17,11_03_22,3,6,66
2021.12.17,11_03_28,3,6,66
2021.12.17,11_03_33,3,6,66
2021.12.17,11_03_40,3,6,66
2021.12.17,10_50_38,3,8,66
2021.12.17,10_50_43,3,8,66
2021.12.17,10_50_49,3,8,66
2021.12.17,10_50_54,3,8,66
2021.12.17,10_51_00,3,8,66
2021.12.17,11_03_49,3,8,66
2021.12.17,11_03_55,3,8,66
2021.12.17,11_04_00,3,8,66
2021.12.17,11_04_05,3,8,66
2021.12.17,11_04_11,3,8,66
2021.12.14,14_23_43,1,2,66
2021.12.14,14_23_53,1,2,66
2021.12.14,14_24_02,1,2,66
2021.12.14,14_24_11,1,2,66
2021.12.14,14_24_22,1,2,66
2021.12.14,14_25_05,1,4,66
2021.12.14,14_25_14,1,4,66
2021.12.14,14_25_22,1,4,66
2021.12.14,14_25_31,1,4,66
2021.12.14,14_25_39,1,4,66
2021.12.14,14_26_10,1,6,66
2021.12.14,14_26_18,1,6,66
2021.12.14,14_26_24,1,6,66
2021.12.14,14_26_31,1,6,66
2021.12.14,14_26_37,1,6,66
2021.12.14,14_26_43,1,8,66
2021.12.14,14_26_49,1,8,66
2021.12.14,14_26_55,1,8,66
2021.12.14,14_27_01,1,8,66
2021.12.14,14_27_07,1,8,66
2021.12.14,14_35_10,1,2,33
2021.12.14,14_35_17,1,2,33
2021.12.14,14_35_23,1,2,33
2021.12.14,14_35_28,1,2,33
2021.12.14,14_35_33,1,2,33
2021.12.14,14_35_39,1,4,33
2021.12.14,14_35_47,1,4,33
2021.12.14,14_35_54,1,4,33
2021.12.14,14_36_00,1,4,33
2021.12.14,14_36_06,1,4,33
2021.12.14,14_36_27,1,6,33
2021.12.14,14_36_33,1,6,33
2021.12.14,14_36_38,1,6,33
2021.12.14,14_36_43,1,6,33
2021.12.14,14_36_49,1,6,33
2021.12.14,14_37_17,1,8,33
2021.12.14,14_37_24,1,8,33
2021.12.14,14_46_07,1,2,17
2021.12.14,14_46_14,1,2,17
2021.12.14,14_46_19,1,2,17
2021.12.14,14_46_24,1,2,17
2021.12.14,14_46_29,1,2,17
2021.12.14,14_46_35,1,4,17
2021.12.14,14_46_55,1,4,17
2021.12.14,14_47_07,1,4,17
2021.12.14,14_47_13,1,4,17
2021.12.14,14_47_18,1,6,17
2021.12.14,14_47_24,1,6,17
2021.12.14,14_47_29,1,6,17
2021.12.14,14_47_34,1,6,17
2021.12.14,14_47_39,1,6,17
2021.12.14,14_48_15,1,8,17
2021.12.14,14_48_20,1,8,17
2021.12.14,14_55_27,1,2,8
2021.12.14,14_55_33,1,2,8
2021.12.14,14_55_38,1,2,8
2021.12.14,14_55_44,1,2,8
2021.12.14,14_55_55,1,4,8
2021.12.14,14_56_06,1,4,8
2021.12.14,14_56_11,1,4,8
2021.12.14,14_56_17,1,4,8
2021.12.14,14_56_35,1,6,8
2021.12.14,14_56_41,1,6,8
2021.12.14,14_56_54,1,6,8
2021.12.14,14_56_59,1,6,8
2021.12.14,14_57_28,1,8,8
2021.12.14,14_57_33,1,8,8
2021.12.14,14_57_39,1,8,8
